SYMBOL	L1_D01_T1	L1_D01_T2	L1_D02_T1	L1_D02_T2	L1_D03_T1	L1_D03_T2	L1_D04_T1	L1_D04_T2	L1_D05_T1	L1_D05_T2	L1_D06_T1	L1_D06_T2	L1_D07_T1	L1_D07_T2	L1_D08_T1	L1_D08_T2	L1_D09_T1	L1_D09_T2	L1_D10_T1	L1_D10_T2	L1_D11_T1	L1_D11_T2	L1_D12_T1	L1_D12_T2	L1_D13_T1	L1_D13_T2	L1_D14_T1	L1_D14_T2	L1_D15_T1	L1_D15_T2	L1_D16_T1	L1_D16_T2
CD3D	22.303	25.599	26.8	22.43	25.589	25.935	27.227	21.722	25.802	23.183	23.724	22.865	22.366	27.435	21.9	31.649	21.431	24.559	29.337	23.691	21.75	24.813	26.65	28.459	20.789	22.024	21.251	24.862	30.497	23.295	21.821	26.943
CD3E	23.631	25.702	27.998	24.2	24.208	30.404	26.553	21.856	25.99	24.066	27.276	23.061	25.211	25.931	23.498	32.163	23.715	27.95	28.065	25.12	21.816	27.963	26.374	26.721	21.795	22.948	24.794	25.233	28.781	22.929	23.27	25.182
CD3G	22.243	26.985	25.278	21.879	26.681	26.538	27.354	23.108	26.654	25.844	26.41	22.537	21.921	29.021	24.699	32.854	22.754	26.072	26.635	24.175	22.814	25.138	27.295	30.305	20.8	21.635	23.807	26.099	27.217	24.043	22.726	24.29
CD2	21.733	28.152	26.33	21.21	25.188	28.073	25.676	20.099	25.394	24.502	24.435	22.816	25.336	24.6	25.214	32.198	23.619	26.701	27.1	22.616	24.69	24.382	25.456	28.174	20.971	24.363	23.2	26.641	29.213	23.743	24.317	26.075
CD28	20.237	26.676	27.177	22.626	26.093	27.29	26.518	24.594	28.227	24.141	24	21.507	24.266	24.896	23.588	32.678	21.748	28.639	27.019	25.026	20.547	27.671	24.531	29.585	21.648	22.65	24.625	25.311	28.6	22.839	22.68	25.834
LCK	23.641	27.195	26.259	23.588	25.244	26.045	28.994	23.727	27.082	24.963	24.446	22.567	25.735	24.767	26.264	31.744	24.755	27.274	26.932	24.351	22.065	27.169	27.362	28.6	20.625	22.352	22.993	27.436	28.716	23.895	21.929	25.293
ZAP70	24.69	27.785	27.705	20.893	25.53	28.304	26.435	23.77	25.126	24.632	24.114	21.051	24.222	27.661	23.497	33.084	23.906	25.465	26.409	23.034	24.182	25.506	26.406	28.134	18.452	21.448	24.135	25.923	30.261	26.305	25.251	25.512
IL7R	23.577	25.757	28.621	23.852	23.543	27.57	24.557	23.331	23.052	25.394	23.744	22.418	24.46	26.758	24.712	32.886	22.083	23.824	26.366	24.004	22.306	26.699	24.709	28.471	21.325	22.964	22.84	28.269	30.212	25.374	22.374	24.897
CD7	24.506	25.921	24.172	23.55	22.665	26.784	28.448	24.304	27.473	24.185	24.374	21.825	26.574	26.077	23.04	33.243	24.06	27.735	26.109	23.201	22.795	26.331	25.67	28.126	22.9	22.302	22.57	26.936	30.647	23.113	22.872	25.328
TRAC	24.342	25.687	25.011	25.187	26.674	26.904	26.781	21.454	26.847	25.752	22.542	21.998	23.894	25.206	21.458	32.806	20.932	25.43	27.544	23.432	24.364	26.751	25.333	29.257	20.65	25.266	23.014	27.176	29.543	20.43	21.843	24.191
CD19	25.835	19.727	25.238	17.631	26.928	25.48	23.087	26.321	25.45	22.305	23.035	23.52	27.1	24.21	23.362	25.597	25.572	31.853	21.351	25.757	26.371	27.299	24.825	25.158	23.149	25.655	31.923	28.464	23.485	24.443	30.462	27.105
MS4A1	25.122	21.162	23.463	17.921	30.652	30.282	24.632	25.001	22.471	25.44	22.931	25.619	26.581	21.745	26.44	23.552	25.935	30.19	22.615	23.955	24.687	25.643	24.381	27.114	24.47	27.039	28.655	29.747	24.439	22.826	25.995	26.015
CD79A	24.39	22.596	23.599	18.634	27.325	27.795	24.392	27.682	23.954	25.171	23.178	23.127	27.586	19.59	21.695	26.299	26.384	31.69	20.767	26.406	24.69	25.457	27.772	26.177	23.644	26.664	31.025	29.678	22.546	24.589	29.645	27.16
CD79B	27.133	22.46	23.243	19.001	25.189	27.817	25.428	25.984	23.498	24.348	26.1	21.985	24.845	22.587	21.266	24.269	24.108	31.491	23.039	24.298	23.866	27.315	25.504	26.909	22.529	26.207	29.109	31.066	24.015	23.602	30.047	28.322
BLNK	26.242	24.968	21.729	16.958	26.18	27.548	26.733	28.267	25.425	25.876	24.066	23.44	28.095	20.699	21.516	24.72	27.239	30.273	19.661	25.925	23.615	25.476	26.887	26.185	22.871	26.929	30.936	30.697	22.884	22.799	27.233	26.87
PAX5	27.953	22.805	24.281	18.755	27.369	25.668	28.043	25.745	24.48	22.671	23.942	22.581	27.337	19.468	24.009	26.999	26.394	30.197	23.055	24.708	24.211	27.634	24.328	26.487	22.403	25.15	28.414	29.203	23.907	24.721	27.86	27.809
